date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-09-11 23:59:52,brainocrypto,,0,0,0,"RT @CoinfeedIO: #Bitcoin Crowdsource Processing Power and Compute for Humanity - NEWSBTC htt... http://bit.ly/1UJ3nu3 #bitcoin",,@CoinfeedIO,#Bitcoin #bitcoin,642487756636033024,https://twitter.com/brainocrypto/status/642487756636033024
2015-09-11 23:59:42,GDBALA,,0,0,0,"A Closer Look at the UBS Settlement Coin vs. Bitcoin http://bit.ly/1K1VXaN #Bitcoin",,,#Bitcoin,642487714932088833,https://twitter.com/GDBALA/status/642487714932088833
2015-09-11 23:59:37,alex208800,,0,0,0,"My robot has 20 hp left! I've earned a total of 427,000 free satoshis from http://www.robotcoingame.com/?id=4159452 #robotcoingame #Bitcoin #FreeBitcoin",,,#robotcoingame #Bitcoin #FreeBitcoin,642487693964890112,https://twitter.com/alex208800/status/642487693964890112
2015-09-11 23:59:15,mmjtrader,,1,0,0,"@KarlaFriede please accept a $.20 Bitcoin tip via @ChangeTip",,@KarlaFriede @ChangeTip,,642487600561848320,https://twitter.com/mmjtrader/status/642487600561848320
2015-09-11 23:59:04,coindesk,,0,37,6,"The latest Bitcoin Price Index is 240.08 USD http://www.coindesk.com/price/ pic.twitter.com/B37QIwlIIC",,,,642487552646230016,https://twitter.com/coindesk/status/642487552646230016
2015-09-11 23:58:34,ChristianAlbarr,,0,0,0,"My robot has 400 hp left! I've earned a total of 72,000 free satoshis from http://www.robotcoingame.com/?id=4177451 #robotcoingame #Bitcoin #FreeBitcoin",,,#robotcoingame #Bitcoin #FreeBitcoin,642487427215441920,https://twitter.com/ChristianAlbarr/status/642487427215441920
2015-09-11 23:58:11,UpStartedHQ,,0,0,0,"The @PurseIO team is building apps that make using Bitcoin actually worth everyones time. http://buff.ly/1LYxhTu pic.twitter.com/YqhWSjgPWk",,@PurseIO,,642487331006644224,https://twitter.com/UpStartedHQ/status/642487331006644224
2015-09-11 23:58:06,_Crypto,,2,0,1,"In about 100 blocks $Swing POW rewards will reduce back to 10%. https://bitcointalk.org/index.php?topic=1164721.0 … #Yobit #Bittrex $BTC #btc #mtgox #bitcoin",,,#Yobit #Bittrex #btc #mtgox #bitcoin,642487313105219584,https://twitter.com/_Crypto/status/642487313105219584
2015-09-11 23:58:05,JavierGIglesias,,0,0,0,"#bitcoin #startup = 45 M $en 1 mes ... guauuuuhttp://bit.ly/1QtIXiL",,,#bitcoin #startup,642487306784522240,https://twitter.com/JavierGIglesias/status/642487306784522240
2015-09-11 23:57:57,lucky777_casino,,0,0,0,"My robot has 2,213 hp left! I've earned a total of 1,224,000 free satoshis from http://www.robotcoingame.com/?id=4540300 #robotcoingame #Bitcoin #FreeBitcoin",,,#robotcoingame #Bitcoin #FreeBitcoin,642487273989242880,https://twitter.com/lucky777_casino/status/642487273989242880
