Open,High,Low,Close,Volume,Market Cap
Jul 29 2019,89.77,91.39,88.57,90.43,2457824867,5686062706
Jul 28 2019,88.89,90.41,85.35,89.77,2460180908,5643415873
Jul 27 2019,94.32,95.65,87.70,88.89,2626517608,5586678799
Jul 26 2019,93.41,94.55,90.75,94.31,2260844511,5925662076
Jul 25 2019,94.36,95.85,92.47,93.45,2690273677,5870441888
Jul 24 2019,90.46,96.42,88.15,94.31,3247150970,5923434071
Jul 23 2019,95.41,95.48,89.44,90.62,2700924026,5690513769
Jul 22 2019,99.56,100.25,92.30,95.42,2693989249,5990269582
Jul 21 2019,100.51,101.47,96.95,99.63,2829054215,6253213998
Jul 20 2019,98.46,104.61,97.71,100.61,3771308934,6313476233
Jul 19 2019,101.08,101.18,95.72,98.40,3983990085,6173653347
Jul 18 2019,89.69,103.15,87.45,101.09,4890332056,6340559063
Jul 17 2019,79.41,93.05,77.50,89.81,4616360556,5632042532
Jul 16 2019,90.90,92.06,77.50,79.50,3703346636,4984318767
Jul 15 2019,89.86,92.63,85.68,90.92,3570361793,5699307530
Jul 14 2019,101.11,101.68,88.81,89.77,3717531246,5625773339
Jul 13 2019,105.29,105.59,98.01,101.02,3353538171,6329505235
Jul 12 2019,102.83,106.36,101.21,105.30,3611846208,6595612500
Jul 11 2019,108.57,108.57,97.28,102.64,4633853162,6427725958
Jul 10 2019,119.50,120.10,103.82,108.50,4699511838,6792744022
Jul 09 2019,123.25,124.17,118.23,119.43,3785641025,7475393728
Jul 08 2019,120.28,125.08,118.60,123.29,3803750017,7714781783
Jul 07 2019,118.03,120.33,117.64,120.32,3348662401,7527688155
Jul 06 2019,118.38,121.29,117.33,117.82,3484378308,7369730846
Jul 05 2019,119.84,120.65,117.15,118.35,4110868217,7401137488
Jul 04 2019,122.50,126.67,119.05,119.98,4564200301,7501164315
Jul 03 2019,119.33,123.74,118.37,122.56,4529682890,7661188686
Jul 02 2019,122.56,123.29,112.65,119.24,4761878443,7451762463
Jul 01 2019,122.11,126.02,114.22,122.58,5034162436,7658690466
Jun 30 2019,133.72,136.26,120.44,122.25,5525273220,7636046758
Jun 29 2019,120.16,135.74,116.22,133.66,5745785825,8347117542
Jun 28 2019,114.41,122.02,113.47,120.15,4683311766,7501601230
Jun 27 2019,131.22,132.04,110.67,114.40,5588611122,7141234400
Jun 26 2019,136.48,138.32,128.94,131.27,5565887285,8191677323
Jun 25 2019,135.58,138.12,130.89,136.49,4411092400,8515726713
Jun 24 2019,136.92,138.69,132.83,135.53,3907725105,8454028780
Jun 23 2019,141.95,142.56,136.32,136.88,3998980168,8536077179
Jun 22 2019,139.04,146.43,138.48,141.90,5488615002,8847068564
Jun 21 2019,135.51,141.07,135.51,138.88,4378260963,8656823083
Jun 20 2019,136.60,137.08,132.64,135.48,3880682308,8442646197
Jun 19 2019,135.15,139.34,134.03,136.60,4383960510,8510498678
Jun 18 2019,134.47,135.92,129.75,135.16,3720828769,8418405570
Jun 17 2019,137.13,137.28,133.05,134.44,3230230843,8371507504
Jun 16 2019,138.15,138.79,134.54,137.12,4372645801,8536706967
Jun 15 2019,133.18,139.19,133.14,138.13,4329002013,8597209351
Jun 14 2019,131.31,133.18,126.86,133.05,4352005824,8279439669
Jun 13 2019,135.68,136.89,129.14,131.35,4947794845,8171623427
Jun 12 2019,136.09,142.71,132.24,135.65,5855623530,8437276930
Jun 11 2019,129.26,138.15,125.96,136.03,5441787587,8458730745
Jun 10 2019,115.00,129.71,113.17,129.07,5449266884,8024339041
Jun 09 2019,118.59,119.13,112.57,115.13,4360301111,7156126160
Jun 08 2019,117.28,119.50,114.46,118.55,4689557936,7366835517
Jun 07 2019,110.98,120.64,109.59,117.37,5140908477,7291832561
Jun 06 2019,103.81,111.33,102.09,111.11,4142250662,6900772772
Jun 05 2019,102.12,104.84,101.22,103.85,3585162872,6448454322
Jun 04 2019,107.37,107.37,99.29,102.09,4316694183,6337614783
Jun 03 2019,114.67,115.91,106.46,107.47,3832352496,6670082970
Jun 02 2019,112.71,116.25,111.91,114.70,3434073037,7117549253
Jun 01 2019,114.47,115.61,111.68,112.62,3807158511,6986544718
May 31 2019,108.70,114.63,105.91,114.54,4207966341,7103874448
May 30 2019,115.14,119.74,105.30,108.80,4971290022,6746180187
May 29 2019,114.93,117.87,110.47,115.08,4122926836,7134213755
May 28 2019,117.89,117.89,112.99,114.93,4171886802,7123212215
May 27 2019,111.44,120.69,111.13,118.03,6355361291,7313766498
May 26 2019,102.70,112.67,99.74,111.42,5168378349,6902346395
May 25 2019,100.05,104.11,98.72,102.67,4507357465,6358963965
May 24 2019,88.97,102.75,88.32,99.90,5393657682,6185976031
May 23 2019,88.20,89.74,85.23,89.18,3208807269,5520439405
May 22 2019,91.51,92.00,87.55,88.21,3398528443,5459427424
May 21 2019,91.57,92.44,89.59,91.51,3145769021,5662154168
May 20 2019,95.34,95.34,88.57,91.49,3566921483,5659972915
May 19 2019,86.68,96.54,86.13,95.32,4108852208,5895349549
May 18 2019,89.01,89.87,85.80,86.70,3317998478,5360906927
May 17 2019,95.63,97.26,84.94,89.00,5319840521,5501612938
May 16 2019,101.57,106.21,92.57,95.59,6442000276,5907639439
May 15 2019,91.66,103.14,90.82,101.74,5168624436,6286790205
May 14 2019,88.05,93.37,87.66,91.62,4930071296,5659766830
May 13 2019,84.63,92.37,84.30,88.06,4658762984,5438466608
May 12 2019,89.54,93.18,83.82,84.57,5582599422,5221525879
May 11 2019,77.16,94.54,77.11,89.22,5491744173,5507753609
May 10 2019,74.19,78.72,73.04,77.17,3051537532,4762537746
May 09 2019,74.59,75.93,72.99,74.18,2436426305,4576943366
May 08 2019,74.65,75.32,73.10,74.62,2532851418,4603102252
May 07 2019,74.98,78.01,74.67,74.69,3088433048,4606527091
May 06 2019,76.03,76.39,72.33,74.98,2933488799,4623334243
May 05 2019,78.00,78.15,75.54,75.98,2650746461,4683927727
May 04 2019,79.31,82.02,75.80,78.06,3502670655,4810952019
May 03 2019,73.76,80.42,73.44,79.33,3850339792,4887671308
