Open,High,Low,Close,Volume,Market Cap
212.55,217.54,203.89,217.05,7168982843,23232101232
217.57,218.52,209.64,212.73,6976091534,22767023810
225.70,226.86,213.45,217.56,6338843919,23281138563
229.17,229.86,219.03,225.63,6685082868,24141704293
221.41,234.20,221.19,229.12,7976245988,24511869214
226.66,226.94,215.84,221.33,7606433131,23675884534
211.44,229.24,208.04,226.57,9327816059,24232572603
199.07,217.98,193.99,211.48,9387747640,22616651114
229.75,234.51,197.38,199.19,9036620494,21298941499
227.97,235.03,210.39,229.78,9723674244,24566488597
269.28,269.64,227.27,227.58,8578339386,24328422207
276.29,276.69,263.07,269.46,6716829429,28801816023
268.69,278.86,268.00,276.28,8148936015,29526802979
289.95,290.02,266.09,268.70,10216287022,28713849048
308.85,313.07,285.57,290.00,11679985167,30985827113
313.33,318.22,305.29,308.88,10055159803,32998749928
305.73,314.27,303.50,313.25,9078905628,33461369498
287.60,310.14,286.11,305.70,8119724981,32650611906
287.89,295.99,286.67,287.55,7674615025,30707785756
284.38,293.92,282.69,288.00,8723493015,30751916427
303.03,303.96,282.77,284.52,8403513106,30377082394
291.76,303.34,291.40,303.10,9926711979,32356299765
293.54,295.66,272.60,291.60,10618413952,31124332021
290.27,301.03,280.02,293.64,10292223948,31338571563
319.58,322.79,290.70,290.70,10303111000,31020295932
311.28,322.04,294.75,320.06,10929374565,34149263832
294.14,313.03,292.94,311.23,11514656820,33202586960
336.96,343.43,278.57,294.27,14038092503,31389390615
317.99,361.40,315.95,336.75,16437084081,35916727561
310.68,318.13,307.64,318.13,9641764965,33925713000
307.72,312.33,299.56,310.42,8205712062,33100160024
309.42,318.57,305.76,307.83,8161062380,32819043043
295.12,315.19,294.73,309.38,10613731255,32980338717
271.74,295.30,271.74,294.91,9331694140,31433771859
269.41,274.07,265.50,271.70,6408981097,28955655290
265.06,270.33,264.75,269.43,5516510947,28710780975
274.32,274.32,263.14,265.05,6205242504,28240458529
269.09,275.44,268.35,274.35,6009795781,29227567867
268.90,278.14,265.54,269.22,9676746453,28677606760
