Open,High,Low,Close,Volume,Market Cap
90.46,96.42,88.15,94.31,3247150970,5923434071
95.41,95.48,89.44,90.62,2700924026,5690513769
99.56,100.25,92.30,95.42,2693989249,5990269582
100.51,101.47,96.95,99.63,2829054215,6253213998
98.46,104.61,97.71,100.61,3771308934,6313476233
101.08,101.18,95.72,98.40,3983990085,6173653347
89.69,103.15,87.45,101.09,4890332056,6340559063
79.41,93.05,77.50,89.81,4616360556,5632042532
90.90,92.06,77.50,79.50,3703346636,4984318767
89.86,92.63,85.68,90.92,3570361793,5699307530
101.11,101.68,88.81,89.77,3717531246,5625773339
105.29,105.59,98.01,101.02,3353538171,6329505235
102.83,106.36,101.21,105.30,3611846208,6595612500
108.57,108.57,97.28,102.64,4633853162,6427725958
119.50,120.10,103.82,108.50,4699511838,6792744022
123.25,124.17,118.23,119.43,3785641025,7475393728
120.28,125.08,118.60,123.29,3803750017,7714781783
118.03,120.33,117.64,120.32,3348662401,7527688155
118.38,121.29,117.33,117.82,3484378308,7369730846
119.84,120.65,117.15,118.35,4110868217,7401137488
122.50,126.67,119.05,119.98,4564200301,7501164315
119.33,123.74,118.37,122.56,4529682890,7661188686
122.56,123.29,112.65,119.24,4761878443,7451762463
122.11,126.02,114.22,122.58,5034162436,7658690466
133.72,136.26,120.44,122.25,5525273220,7636046758
120.16,135.74,116.22,133.66,5745785825,8347117542
114.41,122.02,113.47,120.15,4683311766,7501601230
131.22,132.04,110.67,114.40,5588611122,7141234400
136.48,138.32,128.94,131.27,5565887285,8191677323
135.58,138.12,130.89,136.49,4411092400,8515726713
136.92,138.69,132.83,135.53,3907725105,8454028780
141.95,142.56,136.32,136.88,3998980168,8536077179
139.04,146.43,138.48,141.90,5488615002,8847068564
135.51,141.07,135.51,138.88,4378260963,8656823083
136.60,137.08,132.64,135.48,3880682308,8442646197
135.15,139.34,134.03,136.60,4383960510,8510498678
134.47,135.92,129.75,135.16,3720828769,8418405570
137.13,137.28,133.05,134.44,3230230843,8371507504
138.15,138.79,134.54,137.12,4372645801,8536706967
133.18,139.19,133.14,138.13,4329002013,8597209351
131.31,133.18,126.86,133.05,4352005824,8279439669
135.68,136.89,129.14,131.35,4947794845,8171623427
136.09,142.71,132.24,135.65,5855623530,8437276930
129.26,138.15,125.96,136.03,5441787587,8458730745
115.00,129.71,113.17,129.07,5449266884,8024339041
118.59,119.13,112.57,115.13,4360301111,7156126160
117.28,119.50,114.46,118.55,4689557936,7366835517
110.98,120.64,109.59,117.37,5140908477,7291832561
103.81,111.33,102.09,111.11,4142250662,6900772772
102.12,104.84,101.22,103.85,3585162872,6448454322
