TWEETS,ANALYSIS,FAVS,RTS,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @mattaaron: Latest Humans of Bitcoin podcast. Learn about ecommerce and crypto for the travel industry with Matt of @travalacom. Lis___","Sentiment(polarity=0.5, subjectivity=0.9)",0,11,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @proofofsteph: That___s why I think sending free bitcoins to nocoiners is a waste! Cashing out now to buy a kitchen lol it literally could___,"Sentiment(polarity=0.3166666666666667, subjectivity=0.5)",0,5,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Crypto #Blockchain #SWACE ‚_#SWACETOKEN #ether #ethereum #bitcoin #cryptocurrency #IEO https://t.co/kTanVelfeA,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT @BankXRP: U.K. Chancellor of the Exchequer Philip Hammond explains why governments are so worried about Facebook's Libra $FB #btc #bitco___,"Sentiment(polarity=0.0, subjectivity=0.0)",0,52,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it also gotta be able to sync its body with other computers so I can hack cash and bitcoin ATMs,"Sentiment(polarity=0.1875, subjectivity=0.5)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @Crypto_Core: My god, may as well be a speech on #Bitcoin. https://t.co/JIx04daUcM","Sentiment(polarity=0.0, subjectivity=0.0)",0,861,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Libra; they can crushBitcoin; they can't crush","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @PompousLL: Thanks to bitcoin, I___m back at McDonald___s and the wassie is in the deep fryer #bearmarkettings https://t.co/GSPxooucPW","Sentiment(polarity=0.06666666666666667, subjectivity=0.20000000000000004)",0,2,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keeping up with Bitcoin is a full time job. Not a 9-5, but a 24/7 obsession.","Sentiment(polarity=0.35, subjectivity=0.55)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7/16/2019Bitcoin's price has been sitting around 10,000$ the past few weeks. First prediction is that Bitcoin wil___ https://t.co/2BeFxV1L5c","Sentiment(polarity=-0.06666666666666667, subjectivity=0.22777777777777777)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @DJKhaledCrypto: BTCD just got rejected at the resistance, under 69 right now.Some hopium for $ALTS, as $XRP makes it's first move up.___","Sentiment(polarity=0.26785714285714285, subjectivity=0.43452380952380953)",0,1,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@binarydreaming @melikmanukyan LOL the air is EVEN THINNER today#bitcoin","Sentiment(polarity=0.8, subjectivity=0.7)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RT @Reuters: Bitcoin falls below $10,000 after Facebook grilled on crypto plans https://t.co/VE6KnXjw8P https://t.co/T4IwONzIob","Sentiment(polarity=0.0, subjectivity=0.0)",0,26,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@CryptoBora Altlar dê_Å_mez dedim ve dedikê_e dê_Å_tê_. ..artæ±k bu kadar dê_Å_mez dedim yine dê_Å_tê_.Ard arda dê_Å_ê_rmezler d___ https://t.co/x5SPuHEPF9","Sentiment(polarity=0.0, subjectivity=0.0)",0,0,7/16/19 13:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
